Scenario;Replication;OrderFillRate;OrdersS1;OrdersS2;OrdersS3;AvarageLeadTime;AvarageQInStock;Costs;NumberBackordered
Scenario1;40;89,8305084745763;20;1;0;172,455054424897;507,009352330101;424000;7,53601406360334
Scenario1;41;96,2686567164179;23;2;0;183,740330446241;533,961765285536;508000;3,01393862076728
Scenario1;42;93,1034482758621;23;4;0;180,23870989007;538,424529739973;556000;3,5065402841696
Scenario1;43;94,7826086956522;19;2;0;181,509379556498;532,553961222408;428000;2,57969768582195
Scenario1;44;88,3435582822086;24;6;0;162,726080725808;483,78945076544;624000;8,3690540126487
Scenario1;45;88,3720930232558;20;4;0;168,160393084159;533,61001110506;496000;4,65606810599266
Scenario1;46;92,7927927927928;21;0;0;169,084050600019;532,840189582943;420000;3,12611414315695
Scenario1;47;94,0789473684211;23;5;0;171,000559292827;504,029435982999;580000;10,0964550019967
Scenario1;48;96,4912280701754;19;2;0;191,473102238085;516,593255645325;428000;3,3011345547177
Scenario1;49;94,2622950819672;19;3;0;168,988072089744;501,969960136952;452000;6,36419718658865
Scenario1;50;94,4444444444444;20;3;0;165,086793310747;514,549666059722;472000;2,83692856631396
Scenario1;51;94,8148148148148;24;1;0;158,186261408359;553,959022653578;504000;1,87507704647263
Scenario1;52;96;21;2;0;160,639471783943;540,313757693663;468000;0,872377627951806
Scenario1;53;96,031746031746;22;1;0;173,663749109764;516,036372145337;464000;1,19583721992755
Scenario1;54;90,9774436090226;21;4;0;180,568236088952;515,881989081601;516000;6,53651569853268
Scenario1;55;92;22;1;0;186,384817878142;516,282024468444;464000;7,35653041601299
Scenario1;56;95,6896551724138;19;2;0;174,055353487199;551,564934600868;428000;6,4642775796408
Scenario1;57;90,6976744186046;21;3;0;165,821083935098;497,91405509849;492000;4,79757230643135
Scenario1;58;92,8571428571429;23;3;0;170,960733287655;536,630757070716;532000;7,13240964007541
Scenario1;59;94,6969696969697;22;2;0;172,480906971109;544,543479077669;488000;3,88908476787345
Scenario1;60;84,9206349206349;21;3;0;181,640637659037;483,387204953111;472000;15,0707782267215
Scenario1;61;91,9117647058823;24;1;0;180,825406286843;501,61076411561;504000;4,34229996503265
Scenario1;62;98,3471074380165;20;2;0;161,063399886344;546,539644769074;448000;0,805023876751725
Scenario1;63;89,5161290322581;22;0;0;174,324527553093;502,744882391516;440000;4,78318551914809
Scenario1;64;97,841726618705;22;3;0;177,519194285367;536,057774450469;512000;5,48214079408925
Scenario1;65;89,5104895104895;22;4;0;167,814674084618;469,538608518522;536000;6,77635329111329
Scenario1;66;94,53125;20;3;0;170,380569567572;523,551590099156;472000;2,31097339761239
Scenario1;67;91,4728682170543;19;5;0;172,992994576913;497,455872081185;500000;6,07680632701814
Scenario1;68;92,3076923076923;24;2;0;174,552635781501;554,670767761981;528000;13,1680989548189
Scenario1;69;89,5104895104895;23;3;0;166,603042448804;488,132701600601;532000;6,49282407056062
Scenario1;70;90,1408450704225;22;4;0;163,404507433562;529,826177008551;536000;4,39033709156277
Scenario1;71;94,017094017094;21;0;0;173,494903644086;535,883289703427;420000;2,52607082652489
Scenario1;72;98,1132075471698;19;1;0;176,944733130525;565,473362677551;404000;0,203318904211395
Scenario1;73;94,2857142857143;20;6;0;163,735849077039;523,277943982894;544000;2,00810215138934
Scenario1;74;93,5251798561151;21;4;0;176,576200360765;504,072022241211;516000;3,48755912121968
Scenario1;75;93,0693069306931;17;1;0;157,910343641336;507,687310294998;364000;1,58452123886019
Scenario1;76;94,9152542372881;17;5;0;165,947541152343;526,599134230525;460000;2,70757443474614
Scenario1;77;77,0992366412214;21;3;0;187,580082329509;391,494829370643;468000;114,279028793665
Scenario1;78;60,7843137254902;20;8;0;162,947784802837;361,651294120557;568000;118,322380156328
Scenario1;79;93,2330827067669;20;4;0;161,779761349826;532,557115833193;496000;3,22374697657432
Scenario1;80;94,5454545454545;20;0;0;163,836374526018;541,548371704079;400000;1,81357484994521
Scenario1;81;94,53125;20;3;0;171,03469515728;508,983760082401;472000;3,77980541302794
Scenario1;82;84,9624060150376;20;5;0;173,548298649547;494,689136006131;520000;6,69832346382299
Scenario1;83;86,6666666666667;21;4;0;173,495122609512;468,948418245741;516000;5,97747448712378
Scenario1;84;90,625;20;4;0;175,106134278488;510,298336322247;476000;5,27148443096934
Scenario1;85;83,3333333333333;21;4;0;185,251159218774;480,559899232558;516000;27,6675340303757
Scenario1;86;95,5223880597015;23;2;0;159,756619744725;541,381300203102;488000;2,08621500568537
Scenario1;87;87,1621621621622;21;6;0;170,503218450351;525,862346175973;564000;9,74696426481924
Scenario1;88;92,741935483871;22;1;0;170,874347250936;555,925725188895;464000;3,81735927464483
Scenario1;89;90,9090909090909;19;3;0;172,476643762378;507,708240683934;452000;6,40551378498668
Scenario1;90;92,7631578947368;24;3;0;171,112332470447;515,887332290653;552000;4,14293607867806
Scenario1;91;93,75;22;2;0;169,528038242978;564,838340838694;488000;2,73067750491857
Scenario1;92;93,4959349593496;21;1;0;172,389940102654;497,289664520593;444000;3,62982947803914
Scenario1;93;90,9090909090909;22;2;0;173,11573383816;513,271415346065;488000;4,05363128979197
Scenario1;94;92,7536231884058;23;3;0;169,507124455367;516,085510319455;512000;5,95872609599347
Scenario1;95;92,5;21;1;0;172,554359191939;533,318311874525;444000;2,49840509988122
Scenario1;96;90,3225806451613;21;2;0;180,309543682028;534,296545716626;468000;13,4517277092931
Scenario1;97;80,7692307692308;22;2;0;188,06874161125;454,201757061054;468000;28,2197381360515
Scenario1;98;89,7435897435898;19;2;0;180,992419667138;511,810383729521;428000;13,6696097899723
Scenario1;99;92,0353982300885;19;1;0;171,318160396429;496,311984680387;404000;6,00797864785818
