Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;FailedRawOrder3;FailedRawOrder2;FailedRawOrder1;OrdersS3;OrdersS2;OrdersS1;Costs;NumberBackOrdered;AvarageQInStock;AvarageLeadTime;OrderFillRate
68;NaN;16,9674249250814;17,9643611044965;NaN;3,55912391858874;621,948229642207;630,446771361264;612,562339309795;37,0451508338253;43,7491910351026;75,9392987134082;NaN;NaN;180,390518450452;696,59843303036;162,433523867769;0;1;2;0;30;30;472500;2,34919077032621;550,413744183016;185,315068926207;94,3262411347518
69;NaN;17,1133792233304;17,9520896114409;NaN;3,68531227021595;651,143239082903;642,98844723502;608,257207648901;38,7122512602344;48,1158372821286;76,5491885167399;NaN;NaN;163,62382713977;803,565936068725;167,889489195163;0;2;0;0;24;24;378000;18,3613117591344;557,521673098389;201,339443037275;92,2413793103448
70;NaN;17,0616417813137;18,0298700490853;NaN;3,67070569945499;636,687836819038;695,208189467474;687,170931492373;36,9433730339696;47,081883296263;69,0543955421124;NaN;NaN;195,341249668627;699,850402479652;168,158250525503;0;1;0;0;25;25;393750;0,320639398965847;528,696973447736;189,096064497452;99,1666666666667
71;NaN;16,9997679947459;17,88243559753;NaN;3,58655981162363;611,386453956905;602,592250356404;669,064956952121;39,5080238831197;46,0149060940155;75,1765600956666;NaN;NaN;176,05991896484;NaN;166,790355968011;0;1;0;0;28;28;441000;1,77665366354006;572,815820764778;164,439763225814;95,4198473282443
72;NaN;17,1092139176531;18,0163920065854;NaN;3,49786402984718;602,369518449892;705,525346228869;560,232607291592;38,1327232242828;46,3731174882;73,9340753046563;NaN;NaN;175,344312960515;701,102516094603;171,208976231425;0;3;2;0;31;31;472500;0,643262001977089;544,043797950105;169,386116416814;97,9166666666667
73;NaN;16,8845323183369;18,0211689903353;NaN;3,34190631647594;608,433736999532;630,217396646429;630,738318059299;38,1043245437844;47,4002581428235;71,6473844669465;NaN;NaN;196,406392100615;411,192938592317;173,924709882061;0;2;0;0;25;25;393750;1,17311096024763;568,719533451289;187,245201596365;95,7264957264957
74;NaN;17,0396830483961;18,0175136399352;NaN;3,63704774760325;641,750756618156;668,440867579284;580,267331537209;41,7853448370955;45,2358087959986;78,1826750861824;NaN;NaN;133,430332466128;781,435779554784;161,606649472786;0;4;1;0;28;28;432250;0,799440206982523;569,036486257384;167,328254044578;98,4848484848485
75;NaN;17,1287162381006;18,0641224140094;NaN;3,55040024969743;680,990176606586;629,07993627806;657,629782457473;36,7390818937371;48,3973467763513;73,94133725706;NaN;NaN;177,633892429504;710,419911880917;157,121706677828;0;1;1;0;28;28;441000;0,542331853422183;534,102143167836;186,558361314651;98,5401459854015
76;NaN;16,9731522029918;17,9952656778414;NaN;3,47008517757058;618,214882666263;672,898677128811;706,168282256145;39,3336088619461;44,754618810645;77,0210342299348;NaN;NaN;165,453683597673;622,867382479479;173,218523229125;0;1;0;0;31;31;488250;5,90958114712703;528,796060770008;193,40898307277;91,156462585034
77;NaN;17,0005843910304;18,1513531464596;NaN;3,21584966687862;656,089036434684;598,530349479363;635,505003597416;39,4838138769284;46,7164800077892;75,0098850265586;NaN;NaN;146,26805677746;484,969488055604;155,045237096542;0;0;0;0;26;26;409500;0;576,3484221996;167,788210972466;100
