Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;Costs;OrdersS3;OrdersS2;OrdersS1;AvarageQInStock;NumberBackordered;AvarageLeadTime;OrderFillRate
21;16,0179349443119;16,7884591049515;NaN;6,08277394636892;3,69979368080385;685,661862394517;636,232288378914;629,229729262548;37,5659875953891;45,3617842542903;77,2725314239506;894,137686736834;683,689302627607;107,568012157347;NaN;NaN;315000;26;5;0;459,624613270468;15,9646170348961;293,057498880829;82,9268292682927
22;16,0682861604169;16,7868362607551;NaN;5,86479841414839;2,3288542421069;607,067889316274;670,419150342868;528,931826309843;42,3819406385775;44,3216260970156;76,9177485469386;518,164549908086;698,943614736804;183,559529312295;NaN;NaN;315000;30;3;0;394,371487318317;21,4592565177142;308,138551871926;77,7777777777778
23;16,0025445512913;17,5296092615463;NaN;6,1900370830803;3,39180910785217;615,467088798076;579,863654836245;642,895553721114;39,4452653120582;43,130450277434;73,1269225810262;760,185183346107;708,730320605513;182,725210010252;439,245346644777;NaN;288000;28;2;0;385,334913145218;31,1461371204048;340,736956269381;72,8
24;16,0018176816107;NaN;NaN;5,80106736153916;NaN;605,816627934581;679,564256940509;649,871223425462;45,5019840845265;43,4326644646769;76,0758150671609;325,499401031214;737,682305593837;NaN;NaN;NaN;243000;27;0;0;455,555512185909;17,0332163307643;325,16185124945;85,4545454545455
25;15,9877987880643;16,9587311030112;NaN;5,64381394059294;2,99646239570575;605,696609088772;674,461418695894;599,281316669003;36,4965844019477;43,5481170623929;75,3038999196877;997,594826458831;716,775474545086;104,342254617693;NaN;NaN;315000;27;4;0;413,046448954556;24,003225918113;318,282746148115;76,1904761904762
26;15,9490139806123;NaN;NaN;5,55349739813418;3,35902141151018;588,013713310678;709,372087384558;682,272961795561;40,6508305375637;42,7453710392417;74,4099038831579;1100,84739224705;719,900946768437;67,9676163551455;NaN;NaN;234000;27;1;0;439,707734469752;31,2474115055473;358,286481033592;76,9911504424779
27;15,9528710873785;16,9401101853388;NaN;5,49777844233503;3,98662888780236;580,205690032634;623,4594319766;628,689503290553;42,12032899194;43,8027767847026;73,7817380685163;897,64989697703;702,121715829998;200,494482199815;NaN;NaN;351000;29;5;0;399,515688079369;28,9977733756272;321,000107118345;80,7142857142857
28;16,1244181345921;17,1072484038093;NaN;6,32083577414354;3,26216147869127;585,130136264716;626,746077210734;560,344761058205;43,6231911372117;45,3582822508179;75,6399672566668;786,961812942406;691,795855136596;248,794592692858;NaN;NaN;333000;30;4;0;420,908486722285;25,4059093359112;299,662519554199;82,7338129496403
29;16,0362649724347;17,1126214856118;NaN;6,52467603262128;3,52378036337905;626,114158260576;538,543670370751;543,379047979249;39,7348729462052;45,4103325891237;75,0731732592134;624,891039779637;753,699941245188;175,507200694459;NaN;NaN;360000;29;6;0;387,609459964999;38,7037603867612;308,559917457561;77,1428571428572
30;15,8979688243608;16,8916233268766;NaN;6,10053952514297;3,50424448805861;655,159485989089;661,91763977862;635,851967476112;36,6934652912334;45,7674659929202;72,3612635652535;1125,52330502623;662,385295555549;182,135423076763;NaN;NaN;333000;27;5;0;435,016652333483;29,2951248668436;295,256360350497;83,969465648855
